TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        ORDINAL_POSITION
ItemMaster                                                                                                                       IsService                                                                                                                        bit                                                                                                                                            70
ItemMaster                                                                                                                       RtlMarkUp                                                                                                                        money                                                                                                                                          71
ItemMaster                                                                                                                       DlrMarkUp                                                                                                                        money                                                                                                                                          72
ItemMaster                                                                                                                       VAUid                                                                                                                            varchar                                                                                                                                        73
ItemMaster                                                                                                                       VActr                                                                                                                            int                                                                                                                                            74
ItemMaster                                                                                                                       VATermId                                                                                                                         varchar                                                                                                                                        75
ItemMaster                                                                                                                       VACompCode                                                                                                                       varchar                                                                                                                                        76
ItemMaster                                                                                                                       CCStockNo                                                                                                                        varchar                                                                                                                                        77
ItemMaster                                                                                                                       GradeCd                                                                                                                          varchar                                                                                                                                        78
ItemMaster                                                                                                                       ImageID                                                                                                                          varchar                                                                                                                                        79
ItemMaster                                                                                                                       SField1                                                                                                                          varchar                                                                                                                                        80
ItemMaster                                                                                                                       SField2                                                                                                                          varchar                                                                                                                                        81
ItemMaster                                                                                                                       SField3                                                                                                                          varchar                                                                                                                                        82
ItemMaster                                                                                                                       SField4                                                                                                                          varchar                                                                                                                                        83
ItemMaster                                                                                                                       SField5                                                                                                                          varchar                                                                                                                                        84
ItemMaster                                                                                                                       NField1                                                                                                                          int                                                                                                                                            85
ItemMaster                                                                                                                       NField2                                                                                                                          int                                                                                                                                            86
ItemMaster                                                                                                                       NField3                                                                                                                          int                                                                                                                                            87
ItemMaster                                                                                                                       NField4                                                                                                                          int                                                                                                                                            88
ItemMaster                                                                                                                       NField5                                                                                                                          int                                                                                                                                            89
ItemMaster                                                                                                                       DField1                                                                                                                          datetime                                                                                                                                       90
ItemMaster                                                                                                                       DField2                                                                                                                          datetime                                                                                                                                       91
ItemMaster                                                                                                                       DField3                                                                                                                          datetime                                                                                                                                       92
ItemMaster                                                                                                                       BField1                                                                                                                          bit                                                                                                                                            93
ItemMaster                                                                                                                       BField2                                                                                                                          bit                                                                                                                                            94
ItemMaster                                                                                                                       MerchId                                                                                                                          varchar                                                                                                                                        95
ItemMaster                                                                                                                       DiscId                                                                                                                           int                                                                                                                                            96
ItemMaster                                                                                                                       DiscPer                                                                                                                          int                                                                                                                                            97
ItemMaster                                                                                                                       DiscAmt                                                                                                                          int                                                                                                                                            98
ItemMaster                                                                                                                       DiscSQLQry                                                                                                                       varchar                                                                                                                                        99
ItemMaster                                                                                                                       PriceFactorId                                                                                                                    int                                                                                                                                           100
ItemMaster                                                                                                                       PriceFactorPer                                                                                                                   int                                                                                                                                           101
ItemMaster                                                                                                                       PriceFactorAmt                                                                                                                   int                                                                                                                                           102
ItemMaster                                                                                                                       PriceFactorSQLQry                                                                                                                varchar                                                                                                                                       103
ItemMaster                                                                                                                       AddOnId                                                                                                                          int                                                                                                                                           104
ItemMaster                                                                                                                       AddOnPer                                                                                                                         money                                                                                                                                         105
ItemMaster                                                                                                                       AddOnAmt                                                                                                                         money                                                                                                                                         106
ItemMaster                                                                                                                       AddOnSQLQry                                                                                                                      varchar                                                                                                                                       107
ItemMaster                                                                                                                       DednId                                                                                                                           int                                                                                                                                           108
ItemMaster                                                                                                                       DednPer                                                                                                                          money                                                                                                                                         109
ItemMaster                                                                                                                       DednAmt                                                                                                                          money                                                                                                                                         110
ItemMaster                                                                                                                       DednSQLQry                                                                                                                       varchar                                                                                                                                       111
ItemMaster                                                                                                                       EDId                                                                                                                             int                                                                                                                                           112
ItemMaster                                                                                                                       EDPer                                                                                                                            money                                                                                                                                         113
ItemMaster                                                                                                                       EDAmt                                                                                                                            money                                                                                                                                         114
ItemMaster                                                                                                                       EDSQLQry                                                                                                                         varchar                                                                                                                                       115
ItemMaster                                                                                                                       FinalMRP                                                                                                                         money                                                                                                                                         116
ItemMaster                                                                                                                       IsConsignmentItem                                                                                                                bit                                                                                                                                           117
ItemMaster                                                                                                                       FlgStockTake                                                                                                                     int                                                                                                                                           118
ItemMaster                                                                                                                       FlgRateAlterable                                                                                                                 int                                                                                                                                           119
ItemMaster                                                                                                                       FlgStockChkAppl                                                                                                                  int                                                                                                                                           120
ItemMaster                                                                                                                       StockTolerance                                                                                                                   money                                                                                                                                         121
ItemMaster                                                                                                                       Dateinsert                                                                                                                       datetime                                                                                                                                      122
ItemMaster                                                                                                                       Lastupdateddate                                                                                                                  datetime                                                                                                                                      123
ItemMaster                                                                                                                       BatchApplicable                                                                                                                  tinyint                                                                                                                                       124
ItemMaster                                                                                                                       GradeApplicable                                                                                                                  tinyint                                                                                                                                       125
ItemMaster                                                                                                                       LocationApplicable                                                                                                               tinyint                                                                                                                                       126
ItemMaster                                                                                                                       BatchNoFlag                                                                                                                      tinyint                                                                                                                                       127
POSCashTrn                                                                                                                       EntryType                                                                                                                        int                                                                                                                                             1
POSCashTrn                                                                                                                       CtrlNo                                                                                                                           int                                                                                                                                             2
POSCashTrn                                                                                                                       EntSrlNo                                                                                                                         int                                                                                                                                             3
POSCashTrn                                                                                                                       DocNoPrefix                                                                                                                      varchar                                                                                                                                         4
POSCashTrn                                                                                                                       DocNo                                                                                                                            int                                                                                                                                             5
POSCashTrn                                                                                                                       DocDt                                                                                                                            datetime                                                                                                                                        6
POSCashTrn                                                                                                                       DocTime                                                                                                                          datetime                                                                                                                                        7
POSCashTrn                                                                                                                       SaleRefTrnType                                                                                                                   int                                                                                                                                             8
POSCashTrn                                                                                                                       SaleRefDocPrefix                                                                                                                 varchar                                                                                                                                         9
POSCashTrn                                                                                                                       SaleRefDocNo                                                                                                                     int                                                                                                                                            10
POSCashTrn                                                                                                                       PayModeType                                                                                                                      int                                                                                                                                            11
POSCashTrn                                                                                                                       PayModeCode                                                                                                                      varchar                                                                                                                                        12
POSCashTrn                                                                                                                       PaidUnits                                                                                                                        money                                                                                                                                          13
POSCashTrn                                                                                                                       AppliedConvRate                                                                                                                  money                                                                                                                                          14
POSCashTrn                                                                                                                       TenderModeRcptAmt                                                                                                                money                                                                                                                                          15
POSCashTrn                                                                                                                       LocCurrRcptAmt                                                                                                                   money                                                                                                                                          16
POSCashTrn                                                                                                                       LocCurrPaidAmt                                                                                                                   money                                                                                                                                          17
POSCashTrn                                                                                                                       LocCurrNetAmt                                                                                                                    money                                                                                                                                          18
POSCashTrn                                                                                                                       StartCpnNo                                                                                                                       int                                                                                                                                            19
POSCashTrn                                                                                                                       EndCpnNo                                                                                                                         int                                                                                                                                            20
POSCashTrn                                                                                                                       TenderRefElem1                                                                                                                   varchar                                                                                                                                        21
POSCashTrn                                                                                                                       TenderRefElem2                                                                                                                   varchar                                                                                                                                        22
POSCashTrn                                                                                                                       TenderRefElem3                                                                                                                   varchar                                                                                                                                        23
POSCashTrn                                                                                                                       TenderRefElem4                                                                                                                   varchar                                                                                                                                        24
POSCashTrn                                                                                                                       TenderRefElem5                                                                                                                   varchar                                                                                                                                        25
POSCashTrn                                                                                                                       TenderRefElem6                                                                                                                   varchar                                                                                                                                        26
POSCashTrn                                                                                                                       TenderRefElem7                                                                                                                   varchar                                                                                                                                        27
POSCashTrn                                                                                                                       TenderRefElem8                                                                                                                   varchar                                                                                                                                        28
POSCashTrn                                                                                                                       TenderRefElem9                                                                                                                   varchar                                                                                                                                        29
POSCashTrn                                                                                                                       TenderRefElem10                                                                                                                  varchar                                                                                                                                        30
POSCashTrn                                                                                                                       CustId                                                                                                                           varchar                                                                                                                                        31
POSCashTrn                                                                                                                       Narration                                                                                                                        varchar                                                                                                                                        32
POSCashTrn                                                                                                                       ReasonCd                                                                                                                         varchar                                                                                                                                        33
POSCashTrn                                                                                                                       SubAgencyId                                                                                                                      varchar                                                                                                                                        34
POSCashTrn                                                                                                                       AmtRealized                                                                                                                      money                                                                                                                                          35
POSCashTrn                                                                                                                       AgencyComm                                                                                                                       money                                                                                                                                          36
POSCashTrn                                                                                                                       TotValUsed                                                                                                                       money                                                                                                                                          37
POSCashTrn                                                                                                                       FwdRefEntType                                                                                                                    int                                                                                                                                            38
POSCashTrn                                                                                                                       FwdRefCtrlNo                                                                                                                     int                                                                                                                                            39
POSCashTrn                                                                                                                       FwdRefEntSrlNo                                                                                                                   int                                                                                                                                            40
POSCashTrn                                                                                                                       BkwdRefEntType                                                                                                                   int                                                                                                                                            41
POSCashTrn                                                                                                                       BkwdRefCtrlNo                                                                                                                    int                                                                                                                                            42
POSCashTrn                                                                                                                       BkwdRefEntSrlNo                                                                                                                  int                                                                                                                                            43
POSCashTrn                                                                                                                       RecStatus                                                                                                                        int                                                                                                                                            44
POSCashTrn                                                                                                                       CashierId                                                                                                                        varchar                                                                                                                                        45
POSCashTrn                                                                                                                       VAUid                                                                                                                            varchar                                                                                                                                        46
POSCashTrn                                                                                                                       VActr                                                                                                                            int                                                                                                                                            47
POSCashTrn                                                                                                                       VATermId                                                                                                                         varchar                                                                                                                                        48
POSCashTrn                                                                                                                       VACompCode                                                                                                                       varchar                                                                                                                                        49
POSCashTrn                                                                                                                       SField1                                                                                                                          varchar                                                                                                                                        50
POSCashTrn                                                                                                                       SField2                                                                                                                          varchar                                                                                                                                        51
POSCashTrn                                                                                                                       SField3                                                                                                                          varchar                                                                                                                                        52
POSCashTrn                                                                                                                       SField4                                                                                                                          varchar                                                                                                                                        53
POSCashTrn                                                                                                                       SField5                                                                                                                          varchar                                                                                                                                        54
