TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        ORDINAL_POSITION
CustSFASalesOrder                                                                                                                OrderType                                                                                                                        varchar                                                                                                                                         7
CustSFASalesOrder                                                                                                                Discount_Product                                                                                                                 decimal                                                                                                                                         8
CustSFASalesOrder                                                                                                                Schemes                                                                                                                          varchar                                                                                                                                         9
CustSFASalesOrder                                                                                                                SuggestiveQuantity                                                                                                               int                                                                                                                                            10
CustSFASalesOrder                                                                                                                VisitId                                                                                                                          bigint                                                                                                                                         11
CustSFASalesOrder                                                                                                                AlternateCategory                                                                                                                varchar                                                                                                                                        12
CustSFASalesOrder                                                                                                                DistributorErpId                                                                                                                 varchar                                                                                                                                        13
CustSFASalesOrder                                                                                                                Vauid                                                                                                                            varchar                                                                                                                                        14
CustSFASalesOrder                                                                                                                Vactr                                                                                                                            int                                                                                                                                            15
CustSFASalesOrder                                                                                                                Vatermid                                                                                                                         varchar                                                                                                                                        16
CustSFASalesOrder                                                                                                                VACompCode                                                                                                                       varchar                                                                                                                                        17
CustSFASalesOrderDtls                                                                                                            Sn                                                                                                                               int                                                                                                                                             1
CustSFASalesOrderDtls                                                                                                            TrnCtrlNo                                                                                                                        int                                                                                                                                             2
CustSFASalesOrderDtls                                                                                                            EntSrlNo                                                                                                                         int                                                                                                                                             3
CustSFASalesOrderDtls                                                                                                            OrderNo                                                                                                                          varchar                                                                                                                                         4
CustSFASalesOrderDtls                                                                                                            DocNoPrefix                                                                                                                      varchar                                                                                                                                         5
CustSFASalesOrderDtls                                                                                                            DocNo                                                                                                                            varchar                                                                                                                                         6
CustSFASalesOrderDtls                                                                                                            InvDocNoPrefix                                                                                                                   varchar                                                                                                                                         7
CustSFASalesOrderDtls                                                                                                            InvDocNo                                                                                                                         varchar                                                                                                                                         8
CustSFASalesOrderDtls                                                                                                            RtnDocNoPrefix                                                                                                                   varchar                                                                                                                                         9
CustSFASalesOrderDtls                                                                                                            RtnDocNo                                                                                                                         varchar                                                                                                                                        10
CustSFASalesOrderDtls                                                                                                            VoidDocNoPrefix                                                                                                                  varchar                                                                                                                                        11
CustSFASalesOrderDtls                                                                                                            VoidDocNo                                                                                                                        varchar                                                                                                                                        12
CustSFASalesOrderDtls                                                                                                            CustCd                                                                                                                           varchar                                                                                                                                        13
CustSFASalesOrderDtls                                                                                                            CustNm                                                                                                                           varchar                                                                                                                                        14
CustSFASalesOrderDtls                                                                                                            OrderDate                                                                                                                        datetime                                                                                                                                       15
CustSFASalesOrderDtls                                                                                                            ShoperDate                                                                                                                       datetime                                                                                                                                       16
CustSFASalesOrderDtls                                                                                                            InsertDate                                                                                                                       datetime                                                                                                                                       17
CustSFASalesOrderDtls                                                                                                            ModifiedDate                                                                                                                     datetime                                                                                                                                       18
CustSFASalesOrderDtls                                                                                                            BilledDate                                                                                                                       datetime                                                                                                                                       19
CustSFASalesOrderDtls                                                                                                            BilledTime                                                                                                                       datetime                                                                                                                                       20
CustSFASalesOrderDtls                                                                                                            SalesStaff                                                                                                                       varchar                                                                                                                                        21
CustSFASalesOrderDtls                                                                                                            OrderRemarks                                                                                                                     varchar                                                                                                                                        22
